Name,Class
LPE(20:4),LPE
LPE(22:4),LPE
LPE(22:6),LPE
MAG(12:0),MAG
MAG(14:1),MAG
MAG(15:0),MAG
MAG(16:0),MAG
MAG(16:1),MAG
MAG(18:1),MAG
MAG(20:1),MAG
MAG(20:2),MAG
MAG(20:3),MAG
MAG(20:4),MAG
MAG(22:1),MAG
MAG(22:2),MAG
MAG(22:4),MAG
MAG(22:6),MAG
MAG(24:1),MAG
PC(12:0/16:1),PC
PC(12:0/18:1),PC
PC(12:0/18:2),PC
PC(12:0/20:4),PC
PC(14:0/18:1),PC
PC(15:0/18:1),PC
PC(16:0/12:0),PC
PC(16:0/14:0),PC
PC(16:0/16:0),PC
PC(16:0/16:1),PC
PC(16:0/18:0),PC
PC(16:0/18:1),PC
PC(16:0/18:2),PC
PC(16:0/18:3),PC
PC(16:0/20:1),PC
PC(16:0/20:2),PC
PC(16:0/20:3),PC
PC(16:0/20:4),PC
PC(16:0/20:5),PC
PC(16:0/22:4),PC
PC(16:0/22:5),PC
PC(16:0/22:6),PC
PC(17:0/18:1),PC
PC(17:0/20:4),PC
PC(18:0/12:0),PC
PC(18:0/14:0),PC
PC(18:0/16:1),PC
PC(18:0/18:0),PC
PC(18:0/18:1),PC
PC(18:0/18:2),PC
PC(18:0/20:0),PC
PC(18:0/20:1),PC
PC(18:0/20:2),PC
PC(18:0/20:3),PC
PC(18:0/20:4),PC
PC(18:0/22:4),PC
PC(18:0/22:5),PC
PC(18:0/22:6),PC
PC(18:1/16:1),PC
PC(18:1/18:1),PC
PC(18:1/18:2),PC
PC(18:1/20:1),PC
PC(18:1/20:2),PC
PC(18:1/20:3),PC
PC(18:1/20:4),PC
PC(18:1/22:4),PC
PC(18:1/22:5),PC
PC(18:1/22:6),PC
PC(18:2/16:1),PC
PC(18:2/18:2),PC
PC(18:2/20:4),PC
PC(18:2/22:6),PC
PC(20:0/18:1),PC
PC(20:0/20:4),PC
PE(14:0/18:1),PE
PE(14:0/20:4),PE
PE(14:0/22:6),PE
PE(16:0/14:0),PE
PE(16:0/16:0),PE
PE(16:0/16:1),PE
PE(16:0/18:1),PE
PE(16:0/18:2),PE
PE(16:0/20:1),PE
PE(16:0/20:2),PE
PE(16:0/20:3),PE
PE(16:0/20:4),PE
PE(16:0/20:5),PE
PE(16:0/22:4),PE
PE(16:0/22:5),PE
PE(16:0/22:6),PE
PE(17:0/18:1),PE
PE(17:0/20:4),PE
PE(17:0/22:4),PE
PE(17:0/22:6),PE
PE(18:0/16:0),PE
PE(18:0/16:1),PE
PE(18:0/17:0),PE
PE(18:0/18:0),PE
PE(18:0/18:1),PE
PE(18:0/18:2),PE
PE(18:0/20:1),PE
PE(18:0/20:2),PE
PE(18:0/20:3),PE
PE(18:0/20:4),PE
PE(18:0/20:5),PE
PE(18:0/22:4),PE
PE(18:0/22:5),PE
PE(18:0/22:6),PE
PE(18:1/16:1),PE
PE(18:1/18:1),PE
PE(18:1/18:2),PE
PE(18:1/20:1),PE
PE(18:1/20:2),PE
PE(18:1/20:3),PE
PE(18:1/20:4),PE
PE(18:1/20:5),PE
PE(18:1/22:0),PE
PE(18:1/22:4),PE
PE(18:1/22:5),PE
PE(18:1/22:6),PE
PE(18:2/16:1),PE
PE(18:2/18:2),PE
PE(18:2/20:1),PE
PE(18:2/20:3),PE
PE(18:2/20:4),PE
PE(18:2/22:4),PE
PE(18:2/22:6),PE
PE(O-16:0/16:0),PE
PE(O-16:0/16:1),PE
PE(O-16:0/18:0),PE
PE(O-16:0/18:1),PE
PE(O-16:0/18:2),PE
PE(O-16:0/20:1),PE
PE(O-16:0/20:2),PE
PE(O-16:0/20:3),PE
PE(O-16:0/20:4),PE
PE(O-16:0/20:5),PE
PE(O-16:0/22:4),PE
PE(O-16:0/22:5),PE
PE(O-16:0/22:6),PE
PE(O-18:0/16:0),PE
PE(O-18:0/16:1),PE
PE(O-18:0/18:0),PE
PE(O-18:0/18:1),PE
PE(O-18:0/18:2),PE
PE(O-18:0/20:1),PE
PE(O-18:0/20:2),PE
PE(O-18:0/20:3),PE
PE(O-18:0/20:4),PE
PE(O-18:0/20:5),PE
PE(O-18:0/22:4),PE
PE(O-18:0/22:5),PE
PE(O-18:0/22:6),PE
PE(P-16:0/16:0),PE
PE(P-16:0/16:1),PE
PE(P-16:0/18:0),PE
PE(P-16:0/18:1),PE
PE(P-16:0/18:2),PE
PE(P-16:0/20:1),PE
PE(P-16:0/20:2),PE
PE(P-16:0/20:3),PE
PE(P-16:0/20:4),PE
PE(P-16:0/20:5),PE
PE(P-16:0/22:1),PE
PE(P-16:0/22:2),PE
PE(P-16:0/22:4),PE
PE(P-16:0/22:5),PE
PE(P-16:0/22:6),PE
PE(P-16:1/18:1),PE
PE(P-18:0/16:0),PE
PE(P-18:0/16:1),PE
PE(P-18:0/18:0),PE
PE(P-18:0/18:1),PE
PE(P-18:0/18:2),PE
PE(P-18:0/20:1),PE
PE(P-18:0/20:2),PE
PE(P-18:0/20:3),PE
PE(P-18:0/20:4),PE
PE(P-18:0/20:5),PE
PE(P-18:0/22:1),PE
PE(P-18:0/22:2),PE
PE(P-18:0/22:4),PE
PE(P-18:0/22:5),PE
PE(P-18:0/22:6),PE
PE(P-18:1/16:0),PE
PE(P-18:1/16:1),PE
PE(P-18:1/18:0),PE
PE(P-18:1/18:1),PE
PE(P-18:1/18:2),PE
PE(P-18:1/20:1),PE
PE(P-18:1/20:2),PE
PE(P-18:1/20:3),PE
PE(P-18:1/20:4),PE
PE(P-18:1/20:5),PE
PE(P-18:1/22:1),PE
PE(P-18:1/22:2),PE
PE(P-18:1/22:4),PE
PE(P-18:1/22:5),PE
PE(P-18:1/22:6),PE
PE(P-18:2/20:4),PE
PE(P-18:2/22:6),PE
PI(16:0/18:1),PI
PI(16:0/20:4),PI
PI(18:0/16:0),PI
PI(18:0/18:1),PI
PI(18:0/20:3),PI
PI(18:0/20:4),PI
PI(18:0/22:6),PI
PI(18:1/16:1),PI
PI(18:1/18:1),PI
PI(18:1/20:4),PI
SM(14:0),SM
SM(16:0),SM
SM(18:0),SM
SM(18:1),SM
SM(20:0),SM
SM(20:1),SM
SM(22:0),SM
SM(22:1),SM
SM(24:0),SM
SM(24:1),SM
SM(26:0),SM
SM(26:1),SM
TAG42:1-FA18:1,TAG
TAG44:1-FA18:1,TAG
TAG44:2-FA18:1,TAG
TAG46:0-FA14:0,TAG
TAG46:1-FA12:0,TAG
TAG46:1-FA16:0,TAG
TAG46:1-FA18:1,TAG
TAG46:2-FA18:1,TAG
TAG46:3-FA18:1,TAG
TAG47:0-FA15:0,TAG
TAG47:0-FA16:0,TAG
TAG47:0-FA17:0,TAG
TAG47:1-FA16:1,TAG
TAG48:0-FA14:0,TAG
TAG48:0-FA16:0,TAG
TAG48:0-FA18:0,TAG
TAG48:1-FA12:0,TAG
TAG48:1-FA14:0,TAG
TAG48:1-FA16:0,TAG
TAG48:1-FA16:1,TAG
TAG48:1-FA18:1,TAG
TAG48:2-FA12:0,TAG
TAG48:2-FA14:0,TAG
TAG48:2-FA16:0,TAG
TAG48:2-FA16:1,TAG
TAG48:2-FA18:2,TAG
TAG48:4-FA14:1,TAG
TAG49:0-FA15:0,TAG
TAG49:0-FA16:0,TAG
TAG49:0-FA17:0,TAG
TAG49:0-FA18:0,TAG
TAG49:1-FA15:0,TAG
TAG49:1-FA16:0,TAG
TAG49:1-FA18:1,TAG
TAG49:2-FA16:0,TAG
TAG50:0-FA14:0,TAG
TAG50:0-FA16:0,TAG
TAG50:0-FA18:0,TAG
TAG50:1-FA14:0,TAG
TAG50:1-FA16:0,TAG
TAG50:1-FA16:1,TAG
TAG50:1-FA18:0,TAG
TAG50:1-FA18:1,TAG
TAG50:2-FA14:0,TAG
TAG50:2-FA14:1,TAG
TAG50:2-FA16:0,TAG
TAG50:2-FA16:1,TAG
TAG50:2-FA18:1,TAG
TAG50:2-FA18:2,TAG
TAG50:3-FA16:0,TAG
TAG50:3-FA16:1,TAG
TAG50:3-FA18:1,TAG
TAG50:3-FA18:2,TAG
TAG50:3-FA18:3,TAG
TAG50:4-FA20:4,TAG
TAG51:0-FA16:0,TAG
TAG51:0-FA17:0,TAG
TAG51:0-FA18:0,TAG
TAG51:1-FA15:0,TAG
TAG51:1-FA16:0,TAG
TAG51:1-FA17:0,TAG
TAG51:1-FA18:0,TAG
TAG51:1-FA18:1,TAG
TAG51:2-FA15:0,TAG
TAG51:2-FA16:0,TAG
TAG51:2-FA18:0,TAG
TAG51:2-FA18:1,TAG
TAG51:3-FA16:0,TAG
TAG51:3-FA18:1,TAG
TAG51:4-FA15:0,TAG
TAG51:4-FA16:0,TAG
TAG51:4-FA18:1,TAG
TAG51:4-FA18:2,TAG
TAG52:0-FA16:0,TAG
TAG52:0-FA18:0,TAG
TAG52:0-FA20:0,TAG
TAG52:1-FA16:0,TAG
TAG52:1-FA16:1,TAG
TAG52:1-FA18:0,TAG
TAG52:1-FA18:1,TAG
TAG52:1-FA20:1,TAG
TAG52:2-FA16:0,TAG
TAG52:2-FA16:1,TAG
TAG52:2-FA18:0,TAG
TAG52:2-FA18:1,TAG
TAG52:2-FA18:2,TAG
TAG52:2-FA20:2,TAG
TAG52:3-FA16:0,TAG
TAG52:3-FA16:1,TAG
TAG52:3-FA18:0,TAG
TAG52:3-FA18:1,TAG
TAG52:3-FA18:2,TAG
TAG52:3-FA18:3,TAG
TAG52:3-FA20:3,TAG
TAG52:4-FA16:0,TAG
TAG52:4-FA16:1,TAG
TAG52:4-FA18:1,TAG
TAG52:4-FA18:2,TAG
TAG52:4-FA18:3,TAG
TAG52:4-FA20:4,TAG
TAG52:5-FA16:0,TAG
TAG52:5-FA18:2,TAG
TAG52:5-FA20:4,TAG
TAG52:6-FA16:0,TAG
TAG52:6-FA22:6,TAG
TAG52:7-FA16:0,TAG
TAG53:0-FA16:0,TAG
TAG53:1-FA16:0,TAG
TAG53:1-FA18:0,TAG
TAG53:2-FA18:0,TAG
TAG53:2-FA18:1,TAG
TAG53:3-FA18:0,TAG
TAG53:3-FA18:1,TAG
TAG53:4-FA18:0,TAG
TAG53:4-FA18:1,TAG
TAG53:4-FA18:2,TAG
TAG53:5-FA18:1,TAG
TAG53:5-FA18:3,TAG
TAG53:6-FA18:1,TAG
TAG53:6-FA18:2,TAG
TAG53:7-FA18:3,TAG
TAG54:0-FA16:0,TAG
TAG54:0-FA18:0,TAG
TAG54:1-FA16:0,TAG
TAG54:1-FA18:0,TAG
TAG54:1-FA18:1,TAG
TAG54:1-FA20:0,TAG
TAG54:1-FA20:1,TAG
TAG54:2-FA16:0,TAG
TAG54:2-FA18:0,TAG
TAG54:2-FA18:1,TAG
TAG54:2-FA18:2,TAG
TAG54:2-FA20:1,TAG
TAG54:3-FA16:0,TAG
TAG54:3-FA18:0,TAG
TAG54:3-FA18:1,TAG
TAG54:3-FA18:2,TAG
TAG54:3-FA20:2,TAG
TAG54:3-FA20:3,TAG
TAG54:4-FA16:0,TAG
TAG54:4-FA18:0,TAG
TAG54:4-FA18:1,TAG
TAG54:4-FA18:2,TAG
TAG54:4-FA20:3,TAG
TAG54:4-FA20:4,TAG
TAG54:4-FA22:4,TAG
TAG54:5-FA16:0,TAG
TAG54:5-FA18:1,TAG
TAG54:5-FA18:2,TAG
TAG54:5-FA18:3,TAG
TAG54:5-FA20:4,TAG
TAG54:5-FA22:5,TAG
TAG54:6-FA16:0,TAG
TAG54:6-FA18:1,TAG
TAG54:6-FA18:2,TAG
TAG54:6-FA20:4,TAG
TAG54:6-FA20:5,TAG
TAG54:6-FA22:6,TAG
TAG54:7-FA16:1,TAG
TAG54:7-FA18:2,TAG
TAG54:7-FA22:6,TAG
TAG55:1-FA16:0,TAG
TAG55:5-FA18:1,TAG
TAG55:6-FA18:1,TAG
TAG55:6-FA20:3,TAG
TAG55:6-FA20:4,TAG
TAG55:7-FA15:0,TAG
TAG55:7-FA18:1,TAG
TAG55:7-FA20:3,TAG
TAG55:7-FA20:4,TAG
TAG55:7-FA22:6,TAG
TAG55:8-FA20:4,TAG
TAG56:1-FA18:1,TAG
TAG56:2-FA18:1,TAG
TAG56:3-FA18:1,TAG
TAG56:3-FA20:1,TAG
TAG56:4-FA18:0,TAG
TAG56:4-FA18:1,TAG
TAG56:4-FA20:4,TAG
TAG56:4-FA22:4,TAG
TAG56:5-FA16:0,TAG
TAG56:5-FA18:0,TAG
TAG56:5-FA18:1,TAG
TAG56:5-FA20:4,TAG
TAG56:5-FA22:4,TAG
TAG56:5-FA22:5,TAG
TAG56:6-FA16:0,TAG
TAG56:6-FA18:0,TAG
TAG56:6-FA18:1,TAG
TAG56:6-FA18:2,TAG
TAG56:6-FA18:3,TAG
TAG56:6-FA20:4,TAG
TAG56:6-FA20:5,TAG
TAG56:6-FA22:5,TAG
TAG56:6-FA22:6,TAG
TAG56:7-FA16:0,TAG
TAG56:7-FA16:1,TAG
TAG56:7-FA18:0,TAG
TAG56:7-FA18:1,TAG
TAG56:7-FA18:2,TAG
TAG56:7-FA20:3,TAG
TAG56:7-FA20:4,TAG
TAG56:7-FA22:5,TAG
TAG56:7-FA22:6,TAG
TAG56:8-FA16:0,TAG
TAG56:8-FA18:2,TAG
TAG56:8-FA20:4,TAG
TAG56:8-FA22:6,TAG
TAG57:8-FA22:6,TAG
TAG57:9-FA22:6,TAG
TAG58:10-FA20:4,TAG
TAG58:10-FA22:6,TAG
TAG58:6-FA18:0,TAG
TAG58:6-FA22:5,TAG
TAG58:7-FA18:0,TAG
TAG58:7-FA18:1,TAG
TAG58:7-FA18:2,TAG
TAG58:7-FA20:4,TAG
TAG58:7-FA22:4,TAG
TAG58:7-FA22:5,TAG
TAG58:7-FA22:6,TAG
TAG58:8-FA18:1,TAG
TAG58:8-FA18:2,TAG
TAG58:8-FA20:4,TAG
TAG58:8-FA22:6,TAG
TAG58:9-FA18:2,TAG
TAG58:9-FA20:4,TAG
TAG58:9-FA22:6,TAG
TAG60:10-FA22:6,TAG
TAG60:11-FA22:5,TAG
TAG60:11-FA22:6,TAG
TAG60:12-FA22:6,TAG
